tle_line1,tle_line2
1 49152U 21082Y   25104.19353034  .02703995  42179-5  11516-2 0  9993,2 49152  69.9923 351.4224 0006445 250.5733 258.1785 16.22564650199075
1 55308U 23010AR  25104.14287514  .02797331  42134-5  13383-2 0  9992,2 55308  69.9891 101.2752 0004867 220.5151 185.6617 16.21126498124432
1 48033U 21024BJ  25104.13771552  .07387704  12109-4  12102-2 0  9991,2 48033  53.0307 344.1025 0010799 251.3903 246.9255 16.32514894224808
1 48279U 21036D   25104.10448461  .01641118  20835-2  15505-2 0  9992,2 48279  53.0388  46.0389 0005503 207.0059 251.7910 16.11815902220266
1 46766U 20074AD  25104.08605765  .01475613  15625-2  14143-2 0  9994,2 46766  53.0345 340.1980 0007266 212.8963 263.4082 16.11443465247023
1 43100U 18002B   25104.06908655  .01914837  36091-2  16020-2 0  9995,2 43100  97.3377 200.2595 0009778 262.6836 227.5085 16.14624701403427
1 61731U 24197B   25104.04235817  .00245704  25209-5  10000-3 0  9992,2 61731  97.5416  31.7040 0024418 169.4645 326.3761 16.22609163 25833
1 61199U 24170E   25104.03470653  .01457858  93959-5  12269-2 0  9990,2 61199  44.7083  49.2286 0104011 238.1607 231.9307 16.01983154 31411
1 30151U 99025TG  25103.98363088  .00001247  00000-0  10474-2 0  9993,2 30151  99.0698 120.2992 0163264 210.4822 179.3186 13.83970677918878
1 26134U 99057W   25103.98276755  .00001659  00000-0  11426-2 0  9993,2 26134  98.9402 288.5890 0421655  14.5734 150.4567 13.64974715242505
1 30683U 99025AQR 25103.98273432  .00002640  00000-0  16929-2 0  9995,2 30683  99.4296 108.0761 0145261 166.4139 224.9651 13.99151577921552
1 07489U 73086FV  25103.98248515  .00000008  00000-0  45743-3 0  9999,2 07489 102.5568 117.1248 0060668  16.5232  12.5938 12.29705003306563
1 17626U 81053KV  25103.98241556  .00001452  00000-0  16934-2 0  9997,2 17626  82.8651 109.2800 0143698 355.4012  35.1031 13.63746088981147
1 33818U 93036BK  25103.98228425  .00033379  00000-0  28011-2 0  9994,2 33818  74.0810 301.1915 0032441   6.2674 143.6760 14.97790456862133
1 25118U 97084G   25103.98207539  .00002842  00000-0  83340-3 0  9996,2 25118  45.0141 316.0848 0000714 237.5640 265.1003 14.45816844432239
1 14409U 81053JE  25103.98205618  .00001671  00000-0  17759-2 0  9991,2 14409  83.0243 287.7123 0120824 258.3033 256.5577 13.70574329238473
1 05180U 71038A   25103.98201624 -.00000205  00000-0 -47617-3 0  9993,2 05180  74.0000 299.8030 0023492 271.2004 242.7610 13.17830179595702
1 14358U 81053HR  25103.98188917  .00004607  00000-0  23531-2 0  9993,2 14358  82.8033 299.1234 0170094 235.2016 279.2953 14.08293492122494
1 12741U 81053CJ  25103.98173939  .00001518  00000-0  12042-2 0  9998,2 12741  82.9450  96.9058 0061269 215.5946 163.1556 13.89849123201220
1 14816U 76098C   25103.98142811  .00005224  00000-0  10090-2 0  9990,2 14816  74.0312  98.7209 0010744 156.0532 227.0870 14.63637676373347
1 10834U 76077CE  25103.98136664  .00000990  00000-0  10040-1 0  9991,2 10834 100.3503 109.7693 0118590 357.3853  29.8036 12.17079696153109
1 25682U 99020A   25103.98134887  .00001088  00000-0  21967-3 0  9997,2 25682  97.8667 122.3748 0001650  88.8861 300.4564 14.63246034383061
1 34375U 97051FT  25103.98115041  .00002277  00000-0  10596-2 0  9995,2 34375  86.4243 280.5391 0103164 177.3363 345.4458 14.17386781832725
1 21293U 75052AE  25103.98088453  .00000227  00000-0  84444-3 0  9990,2 21293  99.8578 278.8294 0272209 220.3813 295.5741 12.91616451597769
1 29881U 99025GB  25103.98086512  .00004001  00000-0  41819-2 0  9993,2 29881  98.7030 102.8028 0292968 344.9019  38.2695 13.58580204899379
